L,n,c,delta,samples,zeta_s,zeta_s_err,W2_direct,W2_parseval
262144,0.8,1.0,1.0,16,1.500533,0.003116,42238882756973184.000000,42238882756973160.000000
524288,0.8,1.0,1.0,8,1.499573,0.003317,630796162396744192.000000,630796162396744448.000000
262144,0.9,1.0,1.0,16,1.500601,0.002895,408264137884891.687500,408264137884891.312500
524288,0.9,1.0,1.0,8,1.499321,0.002964,4372203968250738.500000,4372203968250739.000000
262144,1.0,1.0,1.0,16,1.499509,0.002863,26555442207887.609375,26555442207887.613281
524288,1.0,1.0,1.0,8,1.499144,0.002907,231891762835225.750000,231891762835225.593750
262144,1.1,1.0,1.0,16,1.498232,0.002878,4402541172757.714844,4402541172757.714844
524288,1.1,1.0,1.0,8,1.498745,0.002954,33487941526910.132812,33487941526910.121094
262144,1.2,1.0,1.0,16,1.494805,0.002898,1236039343073.203369,1236039343073.202881
524288,1.2,1.0,1.0,8,1.495971,0.003034,8510094539317.872070,8510094539317.868164
262144,1.3,1.0,1.0,16,1.486358,0.002917,480454179808.010742,480454179808.010803
524288,1.3,1.0,1.0,8,1.488337,0.003104,3067709605836.710449,3067709605836.708984
262144,1.4,1.0,1.0,16,1.476436,0.002959,231506404042.329407,231506404042.329346
524288,1.4,1.0,1.0,8,1.471535,0.003146,1393397913566.446289,1393397913566.445801
262144,1.5,1.0,1.0,16,1.465255,0.002969,129503838678.629486,129503838678.629501
524288,1.5,1.0,1.0,8,1.454595,0.003161,743224768088.882812,743224768088.882690
262144,2.0,1.0,1.0,16,1.389022,0.002999,23089465962.650208,23089465962.650208
524288,2.0,1.0,1.0,8,1.418695,0.003193,114545414670.015930,114545414670.015961
262144,3.0,1.0,1.0,16,1.320548,0.003040,5940368781.630328,5940368781.630327
524288,3.0,1.0,1.0,8,1.343269,0.003150,26098226296.337017,26098226296.337017
262144,4.0,1.0,1.0,16,1.290806,0.003015,3341908311.138190,3341908311.138189
524288,4.0,1.0,1.0,8,1.313532,0.003163,13909203545.874081,13909203545.874084
262144,5.0,1.0,1.0,16,1.276856,0.003015,2431626626.810338,2431626626.810337
524288,5.0,1.0,1.0,8,1.294689,0.003160,9811359008.475958,9811359008.475960
262144,10.0,1.0,1.0,16,1.250582,0.003008,1357550489.747424,1357550489.747424
524288,10.0,1.0,1.0,8,1.273097,0.003124,5160509094.924283,5160509094.924283
1024,0.8,1.0,1.0,4096,1.469346,0.003820,52301228.137001,52301228.137001
2048,0.8,1.0,1.0,2048,1.483853,0.002972,666228263.214664,666228263.214664
4096,0.8,1.0,1.0,1024,1.494918,0.003305,8216219438.859903,8216219438.859901
8192,0.8,1.0,1.0,512,1.496540,0.002906,98250883028.692581,98250883028.692474
16384,0.8,1.0,1.0,256,1.498150,0.003035,1358746230154.103027,1358746230154.105469
32768,0.8,1.0,1.0,128,1.498513,0.003151,20538465988283.898438,20538465988283.890625
65536,0.8,1.0,1.0,64,1.498559,0.003144,317983265193204.062500,317983265193203.875000
131072,0.8,1.0,1.0,32,1.497680,0.003096,2952077172026790.500000,2952077172026790.500000
1024,0.9,1.0,1.0,4096,1.492523,0.002912,5481689.662254,5481689.662254
2048,0.9,1.0,1.0,2048,1.493778,0.002979,52648949.561217,52648949.561216
4096,0.9,1.0,1.0,1024,1.496624,0.003160,491218483.209537,491218483.209537
8192,0.9,1.0,1.0,512,1.497694,0.002762,4430253911.092734,4430253911.092732
16384,0.9,1.0,1.0,256,1.499023,0.002764,45232092889.349663,45232092889.349648
32768,0.9,1.0,1.0,128,1.499237,0.002843,490184390843.901306,490184390843.901306
65536,0.9,1.0,1.0,64,1.498339,0.002886,5399907160923.567383,5399907160923.567383
131072,0.9,1.0,1.0,32,1.498501,0.002885,38979025977926.828125,38979025977926.851562
1024,1.0,1.0,1.0,4096,1.500196,0.003077,1478123.203428,1478123.203428
2048,1.0,1.0,1.0,2048,1.499796,0.003078,11969860.201221,11969860.201221
4096,1.0,1.0,1.0,1024,1.499390,0.003129,94330219.523714,94330219.523713
8192,1.0,1.0,1.0,512,1.499230,0.002755,719496360.851629,719496360.851629
16384,1.0,1.0,1.0,256,1.499540,0.002680,6129122564.533827,6129122564.533830
32768,1.0,1.0,1.0,128,1.498980,0.002739,54363265198.622856,54363265198.622833
65536,1.0,1.0,1.0,64,1.498531,0.002818,489983988372.263184,489983988372.263245
131072,1.0,1.0,1.0,32,1.499040,0.002852,3039548022072.525879,3039548022072.525879
1024,1.1,1.0,1.0,4096,1.495745,0.003123,629483.284167,629483.284167
2048,1.1,1.0,1.0,2048,1.497912,0.003078,4547018.703391,4547018.703391
4096,1.1,1.0,1.0,1024,1.497482,0.003103,32004116.268634,32004116.268634
8192,1.1,1.0,1.0,512,1.497257,0.002796,218380727.553913,218380727.553913
16384,1.1,1.0,1.0,256,1.497638,0.002677,1649605550.467705,1649605550.467705
32768,1.1,1.0,1.0,128,1.496359,0.002728,12800957564.492149,12800957564.492142
65536,1.1,1.0,1.0,64,1.496796,0.002827,101088867495.351700,101088867495.351730
131072,1.1,1.0,1.0,32,1.498306,0.002878,566680372697.941406,566680372697.941650
1024,1.2,1.0,1.0,4096,1.484397,0.003074,345822.869401,345822.869401
2048,1.2,1.0,1.0,2048,1.489310,0.003026,2301561.978354,2301561.978354
4096,1.2,1.0,1.0,1024,1.489895,0.003081,14940289.862245,14940289.862245
8192,1.2,1.0,1.0,512,1.490183,0.002860,94156124.343906,94156124.343906
16384,1.2,1.0,1.0,256,1.491917,0.002699,652865405.493095,652865405.493094
32768,1.2,1.0,1.0,128,1.489612,0.002766,4605309012.528118,4605309012.528116
65536,1.2,1.0,1.0,64,1.491328,0.002880,33115153955.088436,33115153955.088444
131072,1.2,1.0,1.0,32,1.494132,0.002915,172674888633.776245,172674888633.776215
1024,1.3,1.0,1.0,4096,1.470161,0.002995,222067.188622,222067.188622
2048,1.3,1.0,1.0,2048,1.476912,0.002954,1389677.426405,1389677.426405
4096,1.3,1.0,1.0,1024,1.478484,0.003064,8488765.245429,8488765.245429
8192,1.3,1.0,1.0,512,1.479397,0.002920,50402398.626801,50402398.626802
16384,1.3,1.0,1.0,256,1.482789,0.002719,327769477.479560,327769477.479560
32768,1.3,1.0,1.0,128,1.479155,0.002823,2152653540.063203,2152653540.063203
65536,1.3,1.0,1.0,64,1.481531,0.002943,14433812527.939342,14433812527.939337
131072,1.3,1.0,1.0,32,1.486022,0.002949,71291236361.280884,71291236361.280914
1024,1.4,1.0,1.0,4096,1.455324,0.002912,157966.230554,157966.230554
2048,1.4,1.0,1.0,2048,1.463053,0.002880,942243.747166,942243.747166
4096,1.4,1.0,1.0,1024,1.465347,0.003049,5489460.462982,5489460.462982
8192,1.4,1.0,1.0,512,1.466737,0.002965,31117307.510857,31117307.510857
16384,1.4,1.0,1.0,256,1.471547,0.002732,192515040.589060,192515040.589060
32768,1.4,1.0,1.0,128,1.465505,0.002871,1196093439.121184,1196093439.121184
65536,1.4,1.0,1.0,64,1.469297,0.002998,7597024371.247661,7597024371.247660
131072,1.4,1.0,1.0,32,1.476041,0.002978,35975204633.044800,35975204633.044807
1024,1.5,1.0,1.0,4096,1.441010,0.002842,120599.283646,120599.283646
2048,1.5,1.0,1.0,2048,1.449112,0.002801,692250.191690,692250.191690
4096,1.5,1.0,1.0,1024,1.451911,0.003038,3882891.282889,3882891.282889
8192,1.5,1.0,1.0,512,1.453649,0.002994,21208951.706946,21208951.706946
16384,1.5,1.0,1.0,256,1.459443,0.002748,126082633.317955,126082633.317955
32768,1.5,1.0,1.0,128,1.450651,0.002903,749366426.314942,749366426.314942
65536,1.5,1.0,1.0,64,1.457448,0.003041,4558323699.599314,4558323699.599310
131072,1.5,1.0,1.0,32,1.463436,0.002991,20870619747.727196,20870619747.727192
1024,2.0,1.0,1.0,4096,1.385468,0.002727,54452.155766,54452.155766
2048,2.0,1.0,1.0,2048,1.392590,0.002503,278509.101058,278509.101058
4096,2.0,1.0,1.0,1024,1.396761,0.003004,1393557.792645,1393557.792645
8192,2.0,1.0,1.0,512,1.398953,0.003008,6809927.524749,6809927.524749
16384,2.0,1.0,1.0,256,1.405015,0.002822,35913791.229350,35913791.229350
32768,2.0,1.0,1.0,128,1.389963,0.002954,186962467.572872,186962467.572872
65536,2.0,1.0,1.0,64,1.405890,0.003108,999420052.364032,999420052.364032
131072,2.0,1.0,1.0,32,1.406287,0.002989,4136122403.728098,4136122403.728097
1024,3.0,1.0,1.0,4096,1.329424,0.002912,29315.667755,29315.667755
2048,3.0,1.0,1.0,2048,1.334060,0.002247,136714.447397,136714.447397
4096,3.0,1.0,1.0,1024,1.339374,0.002946,624141.393673,624141.393673
8192,3.0,1.0,1.0,512,1.341909,0.002991,2789441.152404,2789441.152404
16384,3.0,1.0,1.0,256,1.345991,0.002939,13363668.073440,13363668.073440
32768,3.0,1.0,1.0,128,1.332468,0.002957,62614670.733283,62614670.733283
65536,3.0,1.0,1.0,64,1.340150,0.003074,302103983.875765,302103983.875765
131072,3.0,1.0,1.0,32,1.339059,0.003056,1153004164.321708,1153004164.321709
1024,4.0,1.0,1.0,4096,1.302717,0.003122,22596.029967,22596.029967
2048,4.0,1.0,1.0,2048,1.306442,0.002151,101290.081770,101290.081770
4096,4.0,1.0,1.0,1024,1.312459,0.002901,444506.949780,444506.949780
8192,4.0,1.0,1.0,512,1.315189,0.002989,1911781.654569,1911781.654569
16384,4.0,1.0,1.0,256,1.317507,0.002992,8789231.998283,8789231.998283
32768,4.0,1.0,1.0,128,1.306454,0.002954,39377276.188021,39377276.188021
