n  zeta_from_avg_sq  zeta_mean_samples  zeta_std_samples
2 1.398596016070024373e+00 1.417499368197398191e+00 1.366916948327331210e-02
3 1.343106020044125604e+00 1.361342023863437278e+00 1.342045593139690358e-02
4 1.324427588686375445e+00 1.339143547858079097e+00 1.385097210144822441e-02
5 1.300880574459412076e+00 1.318706421890386116e+00 1.411701526320709686e-02
6 1.297517883250354442e+00 1.313680831894828316e+00 1.408770877746986713e-02
7 1.292266922344542435e+00 1.308587365634145794e+00 1.445540785933786300e-02
8 1.274312802405993095e+00 1.288676439332222756e+00 1.450704921439206763e-02
9 1.278425725984096983e+00 1.301016356986846034e+00 1.820751952051244751e-02
10 1.284183067725660710e+00 1.304142188807626779e+00 1.609684388421175200e-02
11 1.296062391364895872e+00 1.302972280683647233e+00 1.685045210939523086e-02
12 1.271596059359760389e+00 1.281260861406654961e+00 2.022228703242020392e-02
13 1.282397313769665148e+00 1.293751706684302061e+00 1.807087387300974554e-02
14 1.271562322609642859e+00 1.304811340093594563e+00 2.178634646159126678e-02
15 1.263296482277752819e+00 1.284283207018042772e+00 1.700820907801021964e-02
16 1.260935136889910657e+00 1.277281208971329685e+00 1.968260529681591098e-02
17 1.263893525441148746e+00 1.277840300231498860e+00 1.515129364304025270e-02
18 1.247754959068142711e+00 1.246373939737870140e+00 2.043804850225867595e-02
19 1.266863915475196611e+00 1.277616581327281731e+00 2.387573515319515657e-02
20 1.256221245189907076e+00 1.268602187326121067e+00 1.829864457151459539e-02
21 1.251492378297732744e+00 1.259025312393464047e+00 1.934486781760593258e-02
22 1.258840829105297709e+00 1.284188053845588984e+00 2.533980770901991461e-02
23 1.274221127794560093e+00 1.269640416782639392e+00 2.484016819099634302e-02
24 1.251159285956519707e+00 1.276782327693019470e+00 1.633258660219670533e-02
25 1.235027108390164718e+00 1.251930960042073604e+00 2.000526162130113195e-02
26 1.246697379216154200e+00 1.283822374067268290e+00 3.256204192856480828e-02
27 1.252701051530361154e+00 1.284913128626180123e+00 2.429497520702356139e-02
28 1.242704503549088235e+00 1.219264488806681257e+00 2.920513812943767093e-02
29 1.253089087977925953e+00 1.250066612825038614e+00 1.763632499388400818e-02
30 1.267856932530078584e+00 1.259341405521725576e+00 1.671018980381305807e-02
31 1.259729068794253948e+00 1.286485492271290054e+00 2.771442574550108534e-02
32 1.244439429554709875e+00 1.269436361021007764e+00 2.286655589996141810e-02
33 1.263833029569503275e+00 1.251553838856394041e+00 2.662659201119004990e-02
34 1.281262405802318538e+00 1.290252866718910374e+00 2.854400497137497827e-02
35 1.278799026038030862e+00 1.282015088564449901e+00 2.216825100109392696e-02
36 1.298196186645945494e+00 1.304581665415297520e+00 3.900966888303977059e-02
37 1.256129296548488261e+00 1.273425009179810941e+00 2.391460515952824675e-02
38 1.232481993371868922e+00 1.243604403785269596e+00 2.762434681279221996e-02
39 1.262701411767724213e+00 1.254927578093666396e+00 2.229245362658076324e-02
40 1.275982595267751707e+00 1.300363167374636530e+00 2.434842314315074224e-02
41 1.245262709859962902e+00 1.270969294273837535e+00 2.569069878189965059e-02
42 1.267381003122115990e+00 1.292341716545443164e+00 3.643249473575427277e-02
43 1.248966153492134357e+00 1.263897265887481192e+00 3.825574463404514403e-02
44 1.272738773214247887e+00 1.235792287967866887e+00 3.047592456511556691e-02
45 1.273551740553657829e+00 1.297772172075345676e+00 2.793461674090136349e-02
46 1.267559103860798286e+00 1.289766121283710598e+00 2.896250139624658576e-02
47 1.211107906042428350e+00 1.213399909571829749e+00 3.094297164896878116e-02
48 1.242884426984845803e+00 1.258334790375510881e+00 3.981688075686968392e-02
49 1.244998975455468004e+00 1.253242851440382388e+00 2.236642324289418726e-02
50 1.260616610994298004e+00 1.267380739691696734e+00 2.214643586294923888e-02
